subject,toneaccError,toneMathError,ToneAbsolute,TonePartial,TonePartialB1,TonePartialB2,TonePartialB3,ToneSpeedErr,OspanAccError,OspanMathError,MeanOspanAbsoluteScore,MeanOspanPartialScore,MeanOspanPartialScoreBlock1,MeanOspanPartialScoreBlock2,MeanOspanPartialScoreBlock3,OspanSpeedError,symmAccError,SymmSpeedError,MeanSspanAbsoluteScore,MeanSspanPartialScore,MeanSspanPartialScoreBlock1,MeanSspanPartialScoreBlock2,MeanSspanPartialScoreBlock3,MeanSymmErrorTotal
976,6,10,0,34,14,7,13,4,7,10,18,38,13,16,9,3,5,1,9,19,7,3,9,6
977,2,2,51,68,21,22,25,0,0,0,63,71,23,23,25,0,2,1,37,41,14,14,13,3
978,2,2,23,52,14,17,21,0,1,1,30,57,20,14,23,0,3,0,16,25,10,6,9,3
979,3,5,20,42,13,15,14,2,5,7,0,8,5,1,2,2,4,1,2,10,4,3,3,5
980,3,3,0,0,0,0,0,0,6,9,23,29,18,11,0,3,1,0,16,29,8,9,12,1
981,3,6,15,49,18,19,12,3,1,9,37,58,21,16,21,8,0,0,20,30,13,9,8,0
982,2,5,42,66,22,21,23,3,1,1,75,75,25,25,25,0,3,3,11,22,10,7,5,6
983,1,2,32,57,20,15,22,1,5,12,7,30,12,13,5,7,0,1,14,26,9,9,8,1
984,4,4,36,54,14,15,25,0,4,7,41,62,15,23,24,3,3,1,14,25,7,6,12,4
985,2,5,9,41,11,15,15,3,5,6,61,69,21,25,23,1,3,3,7,17,6,6,5,6
986,2,2,7,25,11,8,6,0,4,4,3,18,8,6,4,0,2,1,2,8,0,5,3,3
987,4,4,6,33,10,10,13,0,5,9,12,26,13,1,12,4,3,0,28,39,13,13,13,3
988,5,7,32,50,17,14,19,2,3,4,56,68,20,23,25,1,1,0,20,30,10,9,11,1
1001,4,5,32,47,13,17,17,1,3,5,27,43,15,12,16,2,1,0,30,37,14,10,13,1
1002,3,4,51,64,25,19,20,1,2,5,47,58,21,24,13,3,4,0,23,36,12,12,12,4
1003,1,4,26,60,21,19,20,3,1,3,56,67,22,25,20,2,0,0,22,32,12,7,13,0
1004,1,1,61,73,24,24,25,0,1,5,62,70,23,22,25,4,0,1,28,37,13,12,12,1
1005,4,4,25,50,13,16,21,0,2,2,30,57,18,16,23,0,0,0,29,36,12,10,14,0
1006,6,8,50,65,22,20,23,2,2,3,61,71,23,25,23,1,1,6,9,28,10,8,10,7
